,Unnamed: 0,avgRating,listingBathroomLabel,bathrooms,listingBedLabel,bedrooms,beds,businessHostLabel,city,listingGuestLabel,id,isAutoTranslated,isNewListing,isSuperhost,relaxedFilterLabels,localizedCityName,localizedDistanceText,locationTitle,locationContext,listingName,listingObjType,neighborhood,previewTags,publicAddress,reviewsCount,roomType,roomTypeCategory,roomTypeId,spaceType,starRating,title,avgRatingLocalized,accessibilityLabel,price,qualifier,adults,children,infants,pets
19,19,4.96,1 bath,1.0,1 bed,0,1,,Calgary,2 guests,731402138915240689,False,False,True,,Calgary,,,,Charming walkable Apartment,REGULAR,,[],"Calgary, AB, Canada",67,Entire home/apt,entire_home,,Guest suite,5.0,Guest suite in Southeast Calgary,4.96 (67),$80 CAD per night,$80 CAD,night,1,0,0,0
20,20,4.92,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,609221800168330439,False,False,False,,Calgary,,,,Historic Loft | TOP FLOOR>Cozy>Downtown w/Parking,REGULAR,,[],"Calgary, AB, Canada",122,Entire home/apt,entire_home,,Loft,5.0,Loft in Southeast Calgary,4.92 (122),$132 CAD per night,$132 CAD,night,1,0,0,0
21,21,4.7,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,878149958164235510,False,False,False,,Calgary,,,,Great Location in Bridgeland Feel at Home Vibes,REGULAR,,[],"Calgary, AB, Canada",23,Entire home/apt,entire_home,,Apartment,4.5,Apartment in Northeast Calgary,4.7 (23),$77 CAD per night,$77 CAD,night,1,0,0,0
22,22,5.0,1 bath,1.0,2 beds,2,2,,Calgary,5 guests,1294967561432555262,False,False,False,,Calgary,,,,2 br Suite in heart of Inglewood,REGULAR,,[],"Calgary, AB, Canada",3,Entire home/apt,entire_home,,Home,5.0,Home in Southeast Calgary,5.0 (3),$105 CAD per night,$105 CAD,night,1,0,0,0
23,23,,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,1324189006957914168,False,True,False,,Calgary,,,,DT one bedroom w/ heated parking,REGULAR,,[],"Calgary, AB, Canada",1,Entire home/apt,entire_home,,Apartment,,Apartment in Downtown Calgary,New,$99 CAD per night,$99 CAD,night,1,0,0,0
24,24,4.9,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,1000285367917404160,False,False,True,,Calgary,,,,Plush & Comfy Suite • Downtown Calgary,REGULAR,,[],"Calgary, AB, Canada",62,Entire home/apt,entire_home,,Condo,5.0,Condo in Northwest Calgary,4.9 (62),$96 CAD per night,$96 CAD,night,1,0,0,0
25,25,4.96,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,1095095188183358457,False,False,True,,Calgary,,,,Modern TOP Floor Suite | FREE Parking | FAST Wi-Fi,REGULAR,,[],"Calgary, AB, Canada",82,Entire home/apt,entire_home,,Condo,5.0,Condo in Northwest Calgary,4.96 (82),$110 CAD per night,$110 CAD,night,1,0,0,0
26,26,4.81,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,1253637198017205657,False,False,True,,Calgary,,,,"Trendy Highrise DT Apt, Stampede, UG Parking/Wifi",REGULAR,,[],"Calgary, AB, Canada",21,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Northwest Calgary,4.81 (21),$91 CAD per night,$91 CAD,night,1,0,0,0
27,27,,2 baths,2.0,2 beds,2,2,,Calgary,4 guests,1341425533407209653,False,True,False,,Calgary,,,,Castella Artiso • 2BR • Free Parking • Downtown,REGULAR,,[],"Calgary, AB, Canada",0,Entire home/apt,entire_home,,Condo,,Condo in Downtown Calgary,New,$98 CAD per night,$98 CAD,night,1,0,0,0
28,28,4.96,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,1158251735506872828,False,False,True,,Calgary,,,,Downtown Calgary Oasis,REGULAR,,[],"Calgary, AB, Canada",68,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Northwest Calgary,4.96 (68),$101 CAD per night,$101 CAD,night,1,0,0,0
29,29,4.95,2 baths,2.0,2 beds,2,2,,Calgary,4 guests,1008085393091467717,False,False,True,,Calgary,,,,BEST View & FREE Parking | Executive Corner Suite,REGULAR,,[],"Calgary, AB, Canada",57,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.95 (57),$95 CAD per night,$95 CAD,night,1,0,0,0
30,30,4.9,1 bath,1.0,2 beds,1,2,,Calgary,3 guests,926069526431951724,False,False,False,,Calgary,,,,Cozy Urban 1BRin Central Calgary,REGULAR,,[],"Calgary, AB, Canada",30,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Northwest Calgary,4.9 (30),$94 CAD per night,$94 CAD,night,1,0,0,0
31,31,4.78,1 private bath,1.0,2 beds,1,2,,Calgary,2 guests,8348715,False,False,True,,Calgary,,,,Quiet room in downtown Calgary,REGULAR,,[],"Calgary, AB, Canada",281,Private room,private_room,,Private room,5.0,Room in Southeast Calgary,4.78 (281),$53 CAD per night,$53 CAD,night,1,0,0,0
32,32,,2 baths,2.0,2 beds,2,2,,Calgary,4 guests,1326986808356349185,False,True,False,,Calgary,,,,The Neon - Stylish 2 BR · 2 Bath · Central,REGULAR,,[],"Calgary, AB, Canada",0,Entire home/apt,entire_home,,Condo,,Condo in Downtown Calgary,New,$94 CAD per night,$94 CAD,night,1,0,0,0
33,33,4.84,1 bath,1.0,1 bed,0,1,,Calgary,2 guests,53366142,False,False,True,,Calgary,,,,Vintage Studio w/City Views Minutes to DT,REGULAR,,[],"Calgary, AB, Canada",92,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Southeast Calgary,4.84 (92),$66 CAD per night,$66 CAD,night,1,0,0,0
34,34,5.0,1.5 baths,1.5,3 beds,2,3,,Calgary,5 guests,54248773,False,False,True,,Calgary,,,,5 mins to Stampede! Fantastic guesthouse w parking,REGULAR,,[],"Calgary, AB, Canada",222,Entire home/apt,entire_home,,Guesthouse,5.0,Guesthouse in Southeast Calgary,5.0 (222),$112 CAD per night,$112 CAD,night,1,0,0,0
35,35,4.82,1 private bath,1.0,1 bed,1,1,,Calgary,1 guest,1063136493847645432,False,False,True,,Calgary,,,,"a cozy, quiet and secure place.",REGULAR,,[],"Calgary, AB, Canada",114,Private room,private_room,,Private room,5.0,Room in Southeast Calgary,4.82 (114),$45 CAD per night,$45 CAD,night,1,0,0,0
36,36,,1 bath,1.0,2 beds,2,2,,Calgary,6 guests,1317555187430219947,False,True,True,,Calgary,,,,Retro Glam in Ramsay Walk to Stampede Grounds,REGULAR,,[],"Calgary, AB, Canada",2,Entire home/apt,entire_home,,Home,,Home in Southeast Calgary,New,$79 CAD per night,$79 CAD,night,1,0,0,0
37,37,4.94,1 bath,1.0,2 beds,2,2,,Calgary,4 guests,549555344468380807,False,False,True,,Calgary,,,,Inglewood Condo - 12 min walk to Saddledome/10 DT,REGULAR,,[],"Calgary, AB, Canada",77,Entire home/apt,entire_home,,Condo,5.0,Condo in Southeast Calgary,4.94 (77),$89 CAD per night,$89 CAD,night,1,0,0,0
38,38,4.9,2 baths,2.0,2 beds,2,2,,Calgary,4 guests,15242107,False,False,False,,Calgary,,,,Executive Luxury Penthouse  With River/City Views,REGULAR,,[],"Calgary, AB, Canada",304,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.9 (304),$139 CAD per night,$139 CAD,night,1,0,0,0
39,39,5.0,1 bath,1.0,2 beds,2,2,,Calgary,5 guests,942715626177095547,False,False,True,,Calgary,,,,Downtown Inglewood,REGULAR,,[],"Calgary, AB, Canada",58,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Southeast Calgary,5.0 (58),$125 CAD per night,$125 CAD,night,1,0,0,0
